farm_id,angle_deg,n_turb,country,TI,expected_AEP_kWh,expected_AEP_noWake_kWh,expected_CF,expected_WakeLoss,precompute_time_s
36,70,116,United Kingdom,0.07,3950773812.132323,4828701893.900678,0.3887944626960639,0.18181451269072962,56.43424960000266
36,80,116,United Kingdom,0.07,3964929813.45427,4828701893.900678,0.39018755052888027,0.1788828756518335,45.81634579999809
36,90,116,United Kingdom,0.07,3966184406.33028,4828701893.900678,0.3903110146365021,0.17862305574503937,43.691181200003484
36,100,116,United Kingdom,0.07,3946795047.642565,4828701893.900678,0.3884029136792006,0.1826384949073133,44.768686700001126
36,110,116,United Kingdom,0.07,3928300877.361139,4828701893.900678,0.386582907943743,0.18646854503005675,57.995008300000336
36,120,116,United Kingdom,0.07,3938858617.076074,4828701893.900678,0.3876218919339547,0.1842820899647169,66.93783490000351
36,130,116,United Kingdom,0.07,3950631198.819019,4828701893.900678,0.3887804281627912,0.18184404719429548,70.69686510000611
36,140,116,United Kingdom,0.07,3961158761.8030148,4828701893.900678,0.3898164424699865,0.17966384157893256,69.99948959999892
36,150,116,United Kingdom,0.07,3955980300.7240033,4828701893.900678,0.3893068316725716,0.1807362749560173,70.55238839999947
36,160,116,United Kingdom,0.07,3922760522.0132484,4828701893.900678,0.3860376832401638,0.1876159248993522,70.47830350000004
36,170,116,United Kingdom,0.07,3913800211.7047653,4828701893.900678,0.3851559017974301,0.1894715603279549,69.89695579999534
35,0,120,China,0.07,3737352402.543666,4414586308.1997385,0.35553200176404737,0.153408237686545,64.17453340000066
35,10,120,China,0.07,3650135064.2951202,4414586308.1997385,0.3472350708043303,0.17316486541099257,64.22550220000267
35,20,120,China,0.07,3561984197.292315,4414586308.1997385,0.33884933383678795,0.19313295774142727,62.42783960000088
35,30,120,China,0.07,3543886004.758202,4414586308.1997385,0.3371276640751714,0.1972325927401806,59.19242349999695
35,40,120,China,0.07,3569379559.264063,4414586308.1997385,0.33955285000609425,0.1914577470975643,51.77826379999897
35,50,120,China,0.07,3619347548.3189034,4414586308.1997385,0.34430627362242233,0.18013890869088756,45.88608819999354
35,60,120,China,0.07,3668169546.8058887,4414586308.1997385,0.3489506798711842,0.16907966212087436,46.787061499999254
35,70,120,China,0.07,3698947139.4432282,4414586308.1997385,0.35187853305205746,0.16210786669348115,59.12991049999982
35,80,120,China,0.07,3698454419.88081,4414586308.1997385,0.3518316609475656,0.16221947841154932,69.22420620000048
35,90,120,China,0.07,3654899276.138934,4414586308.1997385,0.3476882873039321,0.17208566760825286,74.38780129999941
35,100,120,China,0.07,3559173510.4994645,4414586308.1997385,0.33858195495618953,0.19376963954955725,73.66447770000377
35,110,120,China,0.07,3465640531.8356686,4414586308.1997385,0.329684221065037,0.21495689745638896,73.83541220000188
