farm_id,receptor_id,season,direction_deg,concentration,flux,rotor_height_fraction,evidence_level,conservation_weight,n_observations,source
29,radar_bauer_Sweden,autumn,243.0,0.207,50.0,0.5,radar,2.3345942228335628,5,Bauer2018_grid_Sweden
29,radar_bauer_Sweden,autumn,253.0,0.207,50.0,0.5,radar,2.3345942228335628,5,Bauer2018_grid_Sweden
36,radar_bauer_United Kingdom,spring,24.299999999999997,0.15,50.0,0.5,radar,2.3345942228335628,5,Bauer2018_grid_United Kingdom
36,radar_bauer_United Kingdom,spring,34.3,0.15,50.0,0.5,radar,2.3345942228335628,5,Bauer2018_grid_United Kingdom
36,radar_bauer_United Kingdom,spring,44.3,0.15,50.0,0.5,radar,2.3345942228335628,5,Bauer2018_grid_United Kingdom
36,radar_bauer_United Kingdom,spring,54.3,0.15,50.0,0.5,radar,2.3345942228335628,5,Bauer2018_grid_United Kingdom
36,radar_bauer_United Kingdom,spring,64.3,0.15,50.0,0.5,radar,2.3345942228335628,5,Bauer2018_grid_United Kingdom
36,radar_bauer_United Kingdom,autumn,210.2,0.15,50.0,0.5,radar,2.3345942228335628,5,Bauer2018_grid_United Kingdom
36,radar_bauer_United Kingdom,autumn,220.2,0.15,50.0,0.5,radar,2.3345942228335628,5,Bauer2018_grid_United Kingdom
36,radar_bauer_United Kingdom,autumn,230.2,0.15,50.0,0.5,radar,2.3345942228335628,5,Bauer2018_grid_United Kingdom
36,radar_bauer_United Kingdom,autumn,240.2,0.15,50.0,0.5,radar,2.3345942228335628,5,Bauer2018_grid_United Kingdom
36,radar_bauer_United Kingdom,autumn,250.2,0.15,50.0,0.5,radar,2.3345942228335628,5,Bauer2018_grid_United Kingdom
40,radar_bauer_United Kingdom,spring,21.700000000000003,0.15,50.0,0.5,radar,2.3345942228335628,5,Bauer2018_grid_United Kingdom
40,radar_bauer_United Kingdom,spring,31.700000000000003,0.15,50.0,0.5,radar,2.3345942228335628,5,Bauer2018_grid_United Kingdom
