farm_id,country,centroid_lat,centroid_lon,n_turb,capacity_kW,data_radar,data_dist,all_radar,all_dist,group
118,China,30.7438,121.7988,32,320000,deess,12950.580737441447,denhb,12592.40750792133,East Asia
119,China,28.1833,121.5002,32,320000,deess,12971.42308429297,denhb,12620.424384542088,East Asia
120,China,20.7161,110.5573,32,320000,deess,11992.023301236555,denhb,11671.810156911159,East Asia
121,Germany,53.6928,6.4755,30,300000,nlhrw,208.52354027996438,nlhrw,208.52354027996438,Europe (direction data)
122,United Kingdom,52.6458,1.7875,30,300000,nlhrw,330.5665707065522,bejab,216.1901578256745,Europe (direction data)
123,United Kingdom,53.9928,-3.2982,30,300000,nlhrw,900.8178659089083,frabb,712.6481737327894,Europe (no direction data)
124,China,25.2975,119.3727,29,290000,deess,12808.70140886602,denhb,12467.199872532417,East Asia
125,China,23.9216,118.2136,28,280000,deess,12719.16689935524,denhb,12382.48785045081,East Asia
126,Vietnam,9.5244,106.456,28,280000,deess,11981.333043915713,denhb,11702.84359539367,East Asia
127,Sweden,54.8185,13.657,27,270000,deess,833.624863299584,denhb,357.05563862127985,Europe (no direction data)
128,United Kingdom,54.6456,-1.0941,27,270000,nlhrw,675.4472141763337,frabb,597.1449676406643,Europe (no direction data)
129,United Kingdom,54.7288,1.7951,27,270000,nlhrw,382.83839575916346,nlhrw,382.83839575916346,Europe (direction data)
130,Vietnam,9.1406,105.7125,26,260000,deess,11922.008828036902,denhb,11645.912589707164,East Asia
131,China,34.4035,120.1958,25,250000,deess,12708.876057024188,denhb,12341.590825276404,East Asia
132,China,38.6684,118.0399,24,240000,deess,12409.490389819679,denhb,12031.652880537611,East Asia
133,Vietnam,8.6706,105.1538,24,240000,deess,11885.742030179807,denhb,11612.080190823986,East Asia
134,Netherlands,52.6039,5.5748,24,240000,nlhrw,99.28639765974991,nldhl,97.0217627043025,Europe (direction data)
135,Japan,40.2006,139.9778,23,230000,deess,14816.109948654039,denhb,14428.917711632746,East Asia
136,Denmark,56.5932,8.0257,21,210000,nlhrw,543.822030843115,denhb,444.0631923818164,Europe (no direction data)
137,Germany,54.6098,12.6507,21,210000,deess,724.2541055859679,denhb,245.79306573646457,Europe (no direction data)
138,United States of America,41.1238,-70.9609,20,200000,nlhrw,8505.815917692156,frabb,8141.399224049957,Americas
139,South Korea,35.4818,126.3176,20,200000,deess,13364.89723986522,denhb,12992.370390706423,East Asia
140,Denmark,56.0791,7.9536,20,200000,nlhrw,497.08075187656334,denhb,409.0345296428771,Europe (direction data)
141,Vietnam,9.7455,106.585,18,180000,deess,11985.042510524325,denhb,11705.625609580859,East Asia
142,Germany,53.8357,8.1683,18,180000,deess,301.31046360685895,denhb,280.02357399508344,Europe (direction data)
143,Vietnam,8.5498,104.9308,16,160000,deess,11868.416690134969,denhb,11595.507466454337,East Asia
144,Sweden,56.9863,17.0187,16,160000,deess,1276.1771874943465,denhb,797.7043043803761,Europe (no direction data)
145,Japan,43.2114,141.2564,14,140000,deess,14933.477476991398,denhb,14539.779477051958,East Asia
146,United States of America,41.093,-71.1478,12,120000,nlhrw,8526.840893824783,frabb,8162.407971948635,Americas
147,China,38.6666,117.6375,12,120000,deess,12365.13845563126,denhb,11987.441514032134,East Asia
148,Finland,61.6279,21.3546,11,110000,deess,1959.1630670462248,denhb,1482.5639013027294,Europe (no direction data)
149,Sweden,55.6945,12.6698,11,110000,deess,792.1578618072851,denhb,320.6773342272413,Europe (no direction data)
150,United Kingdom,57.2233,-1.9953,11,110000,nlhrw,886.3345828289563,bejab,875.2738102860043,Europe (no direction data)
151,South Korea,34.9712,125.9495,10,100000,deess,13332.032002206959,denhb,12960.926690186952,East Asia
152,Denmark,56.6648,8.2313,10,100000,nlhrw,565.1108956145949,denhb,435.44170645946383,Europe (no direction data)
153,Denmark,55.9692,10.3553,10,100000,deess,631.216749554644,denhb,265.4394765145719,Europe (no direction data)
154,Denmark,55.7218,10.5833,10,100000,deess,625.2945585351997,denhb,235.76426469617917,Europe (no direction data)
155,Italy,40.4919,17.1398,9,90000,deess,1655.3947614166386,denhb,1622.0868002760058,Europe (no direction data)
156,United States of America,41.1929,-71.1658,8,80000,nlhrw,8527.110806569013,frabb,8163.035825651511,Americas
