species,order,iucn,migratory,weight
Arborophila campbelli,Galliformes,LC,False,0.5
Arborophila rolli,Galliformes,LC,False,0.5
Arborophila sumatrana,Galliformes,LC,False,0.5
Arborophila javanica,Galliformes,LC,False,0.5
Arborophila orientalis,Galliformes,VU,False,1.5
Lerwa lerwa,Galliformes,LC,False,0.5
Ithaginis cruentus,Galliformes,LC,False,0.5
Tragopan melanocephalus,Galliformes,VU,False,1.5
Tragopan satyra,Galliformes,LC,False,0.5
Tragopan blythii,Galliformes,VU,False,1.5
Tragopan temminckii,Galliformes,LC,False,0.5
Tragopan caboti,Galliformes,VU,False,1.5
Tetraophasis obscurus,Galliformes,LC,False,0.5
Tetraophasis szechenyii,Galliformes,LC,False,0.5
Lophophorus impejanus,Galliformes,LC,False,0.5
Lophophorus sclateri,Galliformes,LC,False,0.5
Lophophorus lhuysii,Galliformes,VU,False,1.5
Pucrasia macrolopha,Galliformes,LC,False,0.5
Meleagris gallopavo,Galliformes,LC,False,0.5
Meleagris ocellata,Galliformes,NT,False,1.0
Bonasa umbellus,Galliformes,LC,False,0.5
Tetrastes bonasia,Galliformes,LC,False,0.5
Tetrastes sewerzowi,Galliformes,NT,False,1.0
Centrocercus urophasianus,Galliformes,NT,True,4.0
Centrocercus minimus,Galliformes,EN,True,8.0
Dendragapus obscurus,Galliformes,LC,False,0.5
Dendragapus fuliginosus,Galliformes,LC,False,0.5
Tympanuchus phasianellus,Galliformes,LC,True,2.0
Tympanuchus cupido,Galliformes,NT,True,4.0
Tympanuchus pallidicinctus,Galliformes,VU,False,1.5
Lagopus leucura,Galliformes,LC,False,0.5
Lagopus scotica,Galliformes,,False,0.25
Lagopus lagopus,Galliformes,LC,True,2.0
Lagopus muta,Galliformes,LC,True,2.0
Falcipennis falcipennis,Galliformes,NT,False,1.0
Canachites canadensis,Galliformes,LC,False,0.5
Canachites franklinii,Galliformes,LC,False,0.5
Tetrao urogallus,Galliformes,LC,False,0.5
Tetrao urogalloides,Galliformes,LC,False,0.5
Lyrurus tetrix,Galliformes,LC,False,0.5
Lyrurus mlokosiewiczi,Galliformes,NT,False,1.0
Rhizothera longirostris,Galliformes,NT,False,1.0
Rhizothera dulitensis,Galliformes,DD,False,0.25
