ID,Country,Latitude,Longitude,Hub.height,turbine.rotorDiameter,turbine.capacity,Number.of.turbines,Total.power,Status
881,Bulgaria,43.42,28.25,30.4,40.0,500.0,1.0,500.0,Production
882,Bulgaria,43.42,28.25,64.5,85.0,2000.0,5.0,10000.0,Production
7059,Bulgaria,43.42,28.25,,,,,112000.0,Production
11189,Bulgaria,43.42,28.25,80.0,77.0,1500.0,6.0,9000.0,Production
11190,Bulgaria,43.42,28.25,80.0,80.0,1500.0,1.0,1500.0,Production
877,Bulgaria,43.42,28.36,30.4,40.0,500.0,1.0,500.0,Production
878,Bulgaria,43.42,28.36,32.6,43.0,600.0,1.0,600.0,Production
879,Bulgaria,43.42,28.36,38.1,50.2,770.0,5.0,3850.0,Production
874,Bulgaria,43.47,28.26,30.4,40.0,500.0,1.0,500.0,Production
875,Bulgaria,43.47,28.26,30.4,40.0,500.0,1.0,500.0,Production
876,Bulgaria,43.47,28.26,42.5,56.0,1000.0,4.0,4000.0,Production
870,Bulgaria,43.57,28.38,28.1,37.0,567.0,3.0,1700.0,Production
871,Bulgaria,43.57,28.38,36.1,47.5,729.0,7.0,5100.0,Production
872,Bulgaria,43.57,28.38,35.7,47.0,750.0,1.0,750.0,Production
873,Bulgaria,43.57,28.38,23.5,31.0,475.0,2.0,950.0,Production
7152,Bulgaria,43.442,28.443,68.3,90.0,3000.0,52.0,156000.0,Production
883,Bulgaria,43.4,28.19,36.4,48.0,900.0,3.0,2700.0,Production
884,Bulgaria,43.4,28.19,40.3,53.1,814.0,14.0,11400.0,Production
20188,Bulgaria,43.632,27.544,68.3,90.0,2000.0,6.0,12000.0,Production
21045,Bulgaria,43.559,28.245,105.0,90.0,3000.0,4.0,12000.0,Production
11191,Bulgaria,43.462,28.325,58.4,77.0,1000.0,3.0,3000.0,Production
17684,Bulgaria,43.462,28.325,38.7,51.0,800.0,2.0,1600.0,Production
18155,Bulgaria,43.462,28.325,100.0,90.0,2000.0,8.0,16000.0,Production
17687,Bulgaria,43.594,28.427,105.0,90.0,2000.0,2.0,4000.0,Production
20105,Bulgaria,43.538,28.512,73.0,52.9,800.0,5.0,4000.0,Production
863,Bulgaria,43.68,28.39,28.1,37.0,490.0,1.0,490.0,Production
864,Bulgaria,43.68,28.39,56.2,74.0,1500.0,1.0,1500.0,Production
17987,Bulgaria,43.531,28.513,73.0,52.9,800.0,3.0,2400.0,Production
866,Bulgaria,43.53,28.59,24.3,32.0,400.0,1.0,400.0,Production
867,Bulgaria,43.52,28.54,30.4,40.0,500.0,5.0,2500.0,Production
868,Bulgaria,43.52,28.54,23.8,31.3,480.0,5.0,2400.0,Production
869,Bulgaria,43.52,28.54,47.8,63.0,1200.0,1.0,1200.0,Production
865,Bulgaria,43.62,28.34,24.3,32.0,400.0,3.0,1200.0,Production
20189,Bulgaria,43.527,28.307,68.3,90.0,2000.0,9.0,18000.0,Production
18346,Bulgaria,42.874,25.319,,,,,,Production
895,Bulgaria,41.93,26.51,12.1,15.9,244.0,4.0,975.0,Production
888,Bulgaria,43.67,24.93,22.4,29.5,452.0,3.0,1355.0,Production
18343,Bulgaria,,,,,,,,Production
16055,Bulgaria,43.69,24.797,80.0,90.0,2500.0,1.0,2500.0,Production
26806,Bulgaria,43.678,24.778,53.1,70.0,1500.0,3.0,4500.0,Production
896,Bulgaria,42.66,26.64,23.5,31.0,300.0,1.0,300.0,Production
897,Bulgaria,42.66,26.64,23.5,31.0,300.0,1.0,300.0,Production
898,Bulgaria,42.66,26.64,30.4,40.0,500.0,1.0,500.0,Production
899,Bulgaria,42.66,26.64,24.3,32.0,400.0,1.0,400.0,Production
900,Bulgaria,42.66,26.64,12.0,15.8,242.0,3.0,725.0,Production
901,Bulgaria,42.66,26.64,19.0,25.0,150.0,1.0,150.0,Production
902,Bulgaria,42.66,26.64,25.0,33.0,350.0,2.0,700.0,Production
903,Bulgaria,,,21.3,28.0,250.0,1.0,250.0,Production
904,Bulgaria,,,21.3,28.0,250.0,3.0,750.0,Production
19890,Bulgaria,,,105.0,90.0,2000.0,2.0,4000.0,Production
909,Bulgaria,,,30.4,40.0,500.0,1.0,500.0,Production
910,Bulgaria,,,24.3,32.0,400.0,1.0,400.0,Production
911,Bulgaria,,,30.4,40.0,500.0,1.0,500.0,Production
905,Bulgaria,,,47.8,63.0,1200.0,1.0,1200.0,Production
906,Bulgaria,,,42.5,56.0,1000.0,1.0,1000.0,Production
907,Bulgaria,,,42.5,56.0,1000.0,1.0,1000.0,Production
908,Bulgaria,,,36.1,47.6,730.0,5.0,3650.0,Production
893,Bulgaria,42.55,26.02,21.3,28.0,250.0,3.0,750.0,Production
10131,Bulgaria,42.657,25.796,64.5,85.0,2000.0,1.0,2000.0,Production
7061,Bulgaria,42.739,25.433,68.3,90.0,2500.0,29.0,72500.0,Production
891,Bulgaria,43.11,26.42,35.7,47.0,750.0,1.0,750.0,Production
892,Bulgaria,43.249,26.573,30.4,40.0,500.0,1.0,500.0,Production
890,Bulgaria,43.36,27.84,25.0,33.0,350.0,3.0,1050.0,Production
21981,Bulgaria,43.136,27.385,68.3,90.0,2000.0,7.0,14000.0,Production
21816,Bulgaria,43.136,27.385,85.0,112.0,3000.0,1.0,3000.0,Production
10130,Bulgaria,43.375,27.59,80.0,90.0,2000.0,30.0,60000.0,Production
894,Bulgaria,42.49,26.52,24.3,32.0,400.0,1.0,400.0,Production
27870,Belarus,53.586,25.773,85.0,112.0,3300.0,1.0,3300.0,Production
16999,Belarus,53.609,25.777,80.0,82.63,1500.0,1.0,1500.0,Production
20619,Belarus,53.609,25.777,80.0,87.0,1500.0,5.0,7500.0,Production
30117,Belarus,53.609,25.777,100.0,99.8,2500.0,1.0,2500.0,Production
30532,Belarus,53.135,24.788,67.0,66.0,1650.0,3.0,4950.0,Production
30533,Belarus,53.135,24.788,78.0,66.0,1650.0,3.0,4950.0,Production
4145,Belarus,54.793,26.777,50.0,26.0,225.0,1.0,225.0,Production
4146,Belarus,54.793,26.777,60.0,54.0,1000.0,1.0,1000.0,Production
12662,Belarus,54.793,26.777,65.0,48.0,600.0,1.0,600.0,Production
30181,Belarus,55.161,30.755,100.0,112.5,2500.0,1.0,2500.0,Production
10419,Switzerland,47.18,7.017,95.0,90.0,2000.0,8.0,16000.0,Production
21348,Switzerland,47.177,7.013,95.0,90.0,2000.0,4.0,8000.0,Production
23367,Switzerland,47.198,7.06,85.0,112.0,3300.0,2.0,6600.0,Production
23368,Switzerland,47.161,6.983,85.0,112.0,3300.0,2.0,6600.0,Production
9488,Switzerland,46.894,9.538,119.0,112.0,3000.0,1.0,3000.0,Production
10420,Switzerland,47.203,6.962,108.0,82.0,2300.0,3.0,6900.0,Production
7119,Switzerland,47.303,7.104,78.0,82.0,2000.0,2.0,4000.0,Production
190,Switzerland,46.989,8.086,61.0,52.0,900.0,1.0,900.0,Production
9658,Switzerland,46.989,8.086,50.0,54.0,950.0,1.0,950.0,Production
17407,Switzerland,46.995,8.106,78.0,82.0,2300.0,1.0,2300.0,Production
1681,Switzerland,47.23,7.4,30.0,23.8,150.0,1.0,150.0,Production
191,Switzerland,46.654,8.614,46.0,40.0,600.0,1.0,600.0,Production
1664,Switzerland,46.655,8.61,55.0,44.0,900.0,1.0,900.0,Production
15151,Switzerland,46.657,8.616,55.0,44.0,900.0,2.0,1800.0,Production
