farm_id,n_turbines,pc1_angle,explained_var_ratio,centroid_lat,centroid_lon,lat_range_km,lon_range_km,med_hub_height,med_rotor_diam,med_capacity_kw,med_start_year,n_hub_height,n_rotor,n_capacity,n_start_year
347,77,139.0,0.9659,52.5059,14.3799,10.72,8.58,160.0,138.0,2300.0,2013.0,30,31,75,65
2283,77,64.92,0.9071,38.8926,-1.3053,6.88,4.57,35.7,47.0,660.0,,0,0,0,0
3364,77,169.79,0.9407,41.3588,0.6462,6.97,16.9,80.0,100.0,2200.0,,77,77,77,0
1395,77,64.56,0.8997,43.6719,-7.7462,9.26,4.73,31.9,42.0,0.8,,0,0,52,0
1755,76,33.8,0.9247,40.4724,-0.2072,4.21,5.48,58.4,77.0,1500.0,,0,76,76,0
2797,76,51.35,0.8109,40.9,0.6819,4.92,3.78,132.0,135.0,3450.0,2025.0,3,3,3,3
3744,75,11.55,0.939,42.0089,-2.0617,3.16,8.06,67.0,58.0,850.0,,0,75,75,0
2754,75,176.91,0.9268,54.0515,15.7558,4.77,9.39,78.0,80.0,1500.0,,0,0,75,0
1959,75,73.05,0.8107,42.5906,-8.2772,6.56,2.38,35.7,47.0,660.0,,0,0,0,0
1746,75,126.66,0.6978,42.2651,-3.6205,10.31,8.05,80.0,90.0,2000.0,,60,0,75,0
1468,75,76.24,0.6364,57.2137,9.915,10.66,4.88,45.0,48.2,0.8,2000.0,58,58,58,58
202,74,15.21,0.618,51.8988,13.7595,5.98,4.0,105.0,90.0,2000.0,2010.0,0,0,74,72
484,74,9.0,0.8928,51.7908,6.9491,8.17,12.23,161.0,115.7,5500.0,2023.0,41,0,45,5
1569,73,114.83,0.8683,53.0944,-3.4873,10.57,4.27,110.0,52.0,3000.0,,16,0,16,0
5162,73,18.95,0.6948,53.6439,0.2928,6.08,4.9,80.0,112.0,3000.0,,0,0,73,0
1375,73,34.76,0.7727,42.1486,-1.9573,3.13,3.16,55.0,47.0,660.0,,0,73,73,0
2709,73,16.68,0.9181,43.5976,-7.4496,7.35,11.57,41.7,55.0,1300.0,,0,0,0,0
138,73,26.55,0.8303,52.1702,11.2752,6.27,5.89,60.7,80.0,1300.0,,0,0,19,0
6989,72,151.69,0.7042,56.4918,-2.1923,18.72,14.36,62.2,82.0,15000.0,,0,0,72,0
4529,71,35.08,0.909,56.8572,-2.3588,19.9,14.57,50.0,62.0,1.3,,16,52,52,0
902,71,155.57,0.6691,51.36,8.8556,8.85,6.34,100.0,92.0,1500.0,2004.0,2,2,69,59
2285,71,165.62,0.8712,39.0257,-1.2497,3.36,5.78,35.7,47.0,660.0,,0,0,0,0
2207,71,29.85,0.9949,41.8803,-1.1104,3.78,4.62,45.0,47.0,660.0,,0,61,61,0
6645,71,29.3,0.777,57.0961,15.3414,12.63,9.97,116.0,150.0,4290.0,2022.0,71,47,71,71
6448,71,44.59,0.7948,49.8956,0.2345,12.78,8.63,49.0,154.0,7000.0,2023.0,0,71,71,71
18,70,92.3,0.605,52.0561,7.1639,12.88,7.22,159.0,70.0,2750.0,2021.5,22,0,46,14
1196,70,173.67,0.8781,54.547,11.7137,4.92,5.97,68.8,82.4,2300.0,2003.0,70,70,70,70
3961,70,11.45,0.9604,55.234,-4.753,4.34,9.18,70.0,80.0,2300.0,,52,62,70,0
2239,70,6.54,0.9217,43.6522,2.887,2.77,6.5,68.0,62.0,2200.0,2013.0,39,39,70,17
476,70,155.78,0.6654,51.8359,8.8989,8.18,6.26,136.7,52.0,2650.0,2022.0,12,7,30,19
2270,69,104.59,0.9537,43.122,-7.1459,9.23,2.65,34.9,46.0,660.0,,0,0,0,0
3422,69,5.8,0.8954,56.5761,-3.7312,4.6,6.0,79.5,101.0,2300.0,,0,0,69,0
1891,68,25.78,0.9799,43.7512,2.869,5.55,7.44,64.0,70.0,2300.0,2011.0,41,43,68,68
495,68,7.34,0.8845,51.9633,11.6002,3.73,4.85,105.0,90.0,2000.0,,0,0,64,0
1782,68,148.31,0.6317,52.5511,-3.6009,3.39,2.61,32.0,44.0,600.0,,0,0,0,0
