species,order,migratory_status,marine,conservation_weight
Eumyias_panayensis,PASSERIFORMES,resident,False,0.1
Eumyias_sordidus,PASSERIFORMES,resident,False,0.1
Eumyias_thalassinus,PASSERIFORMES,directional migratory,False,1.0
Euneornis_campestris,PASSERIFORMES,resident,False,0.1
Eunymphicus_cornutus,PSITTACIFORMES,resident,False,0.1
Eunymphicus_uvaeensis,PSITTACIFORMES,resident,False,0.1
Euodice_cantans,PASSERIFORMES,resident,False,0.1
Euodice_malabarica,PASSERIFORMES,resident,False,0.1
Eupetes_macrocerus,PASSERIFORMES,resident,False,0.1
Eupetomena_macroura,APODIFORMES,directional migratory,False,1.0
Euphagus_carolinus,PASSERIFORMES,directional migratory,False,1.0
Euphagus_cyanocephalus,PASSERIFORMES,directional migratory,False,1.0
Eupherusa_cyanophrys,APODIFORMES,resident,False,0.1
Eupherusa_eximia,APODIFORMES,resident,False,0.1
Eupherusa_nigriventris,APODIFORMES,resident,False,0.1
Eupherusa_poliocerca,APODIFORMES,resident,False,0.1
Euphonia_affinis,PASSERIFORMES,resident,False,0.1
Euphonia_anneae,PASSERIFORMES,resident,False,0.1
Euphonia_cayennensis,PASSERIFORMES,resident,False,0.1
Euphonia_chalybea,PASSERIFORMES,resident,False,0.1
Euphonia_chlorotica,PASSERIFORMES,resident,False,0.1
Euphonia_chrysopasta,PASSERIFORMES,resident,False,0.1
Euphonia_concinna,PASSERIFORMES,resident,False,0.1
Euphonia_cyanocephala,PASSERIFORMES,resident,False,0.1
Euphonia_elegantissima,PASSERIFORMES,resident,False,0.1
Euphonia_finschi,PASSERIFORMES,resident,False,0.1
Euphonia_fulvicrissa,PASSERIFORMES,resident,False,0.1
Euphonia_gouldi,PASSERIFORMES,resident,False,0.1
