farm_id,n_turbines,centroid_lat,centroid_lon,hub_height,rotor_diam,capacity_kw,hub_height_imputed,rotor_diam_imputed,capacity_imputed,pc1_angle,explained_var_ratio,grid_dist_km,spring_dir,autumn_dir,spring_conc,autumn_conc,budget,theta_econ,theta_eco,aep_cost_pct,risk_reduction,risk_reduction_abs
2876.0,158.0,48.7798,4.4177,90.0,100.0,2200.0,False,False,False,118.8,0.6947,6.739629210421271,52.5,234.8,0.8893,0.7507,0.005,0,40,0.4721,91.46,0.591677
2876.0,158.0,48.7798,4.4177,90.0,100.0,2200.0,False,False,False,118.8,0.6947,6.739629210421271,52.5,234.8,0.8893,0.7507,0.01,0,50,0.7299,99.35,0.642712
2876.0,158.0,48.7798,4.4177,90.0,100.0,2200.0,False,False,False,118.8,0.6947,6.739629210421271,52.5,234.8,0.8893,0.7507,0.02,0,50,0.7299,99.35,0.642712
2876.0,158.0,48.7798,4.4177,90.0,100.0,2200.0,False,False,False,118.8,0.6947,6.739629210421271,52.5,234.8,0.8893,0.7507,0.05,0,50,0.7299,99.35,0.642712
2063.0,152.0,56.7944,8.7373,89.5,101.0,3000.0,False,False,False,37.64,0.8255,199.1804611704663,67.3,251.5,0.8773,0.4326,0.005,0,20,0.4189,34.95,0.303006
2063.0,152.0,56.7944,8.7373,89.5,101.0,3000.0,False,False,False,37.64,0.8255,199.1804611704663,67.3,251.5,0.8773,0.4326,0.01,0,50,0.9309,88.05,0.763421
2063.0,152.0,56.7944,8.7373,89.5,101.0,3000.0,False,False,False,37.64,0.8255,199.1804611704663,67.3,251.5,0.8773,0.4326,0.02,0,70,1.0943,99.8,0.865296
2063.0,152.0,56.7944,8.7373,89.5,101.0,3000.0,False,False,False,37.64,0.8255,199.1804611704663,67.3,251.5,0.8773,0.4326,0.05,0,70,1.0943,99.8,0.865296
1011.0,150.0,41.8258,-1.4156,85.0,130.0,2000.0,False,False,False,37.1,0.8859,130.47523982344788,48.5,249.5,0.9869,0.899,0.005,0,0,0.0,0.0,0.0
1011.0,150.0,41.8258,-1.4156,85.0,130.0,2000.0,False,False,False,37.1,0.8859,130.47523982344788,48.5,249.5,0.9869,0.899,0.01,0,10,0.986,21.79,0.155076
1011.0,150.0,41.8258,-1.4156,85.0,130.0,2000.0,False,False,False,37.1,0.8859,130.47523982344788,48.5,249.5,0.9869,0.899,0.02,0,20,1.9571,44.54,0.316991
1011.0,150.0,41.8258,-1.4156,85.0,130.0,2000.0,False,False,False,37.1,0.8859,130.47523982344788,48.5,249.5,0.9869,0.899,0.05,0,40,4.6494,82.15,0.584748
1317.0,140.0,52.5573,5.5967,128.0,127.0,5600.0,False,False,False,25.25,0.7065,9.383835548581114,56.6,242.8,0.8642,0.5441,0.005,0,70,0.4816,94.68,0.694297
1317.0,140.0,52.5573,5.5967,128.0,127.0,5600.0,False,False,False,25.25,0.7065,9.383835548581114,56.6,242.8,0.8642,0.5441,0.01,0,60,0.5073,99.58,0.730243
1317.0,140.0,52.5573,5.5967,128.0,127.0,5600.0,False,False,False,25.25,0.7065,9.383835548581114,56.6,242.8,0.8642,0.5441,0.02,0,60,0.5073,99.58,0.730243
